timestamp,load
2024-05-01T00:00:00,91
2024-05-01T01:00:00,84
2024-05-01T02:00:00,79
2024-05-01T03:00:00,76
2024-05-01T04:00:00,80
2024-05-01T05:00:00,89
2024-05-01T06:00:00,103
2024-05-01T07:00:00,119
2024-05-01T08:00:00,132
2024-05-01T09:00:00,141
2024-05-01T10:00:00,146
2024-05-01T11:00:00,149
2024-05-01T12:00:00,151
2024-05-01T13:00:00,148
2024-05-01T14:00:00,144
2024-05-01T15:00:00,142
2024-05-01T16:00:00,147
2024-05-01T17:00:00,158
2024-05-01T18:00:00,169
2024-05-01T19:00:00,174
2024-05-01T20:00:00,166
2024-05-01T21:00:00,151
2024-05-01T22:00:00,133
2024-05-01T23:00:00,111
2024-05-02T00:00:00,96
2024-05-02T01:00:00,87
2024-05-02T02:00:00,82
2024-05-02T03:00:00,79
2024-05-02T04:00:00,83
2024-05-02T05:00:00,93
2024-05-02T06:00:00,108
2024-05-02T07:00:00,124
