timestamp,load
2024-05-19T00:00:00,101
2024-05-19T00:15:00,96
2024-05-19T00:30:00,91
2024-05-19T00:45:00,88
2024-05-19T01:00:00,86
2024-05-19T01:15:00,89
2024-05-19T01:30:00,94
2024-05-19T01:45:00,103
2024-05-19T02:00:00,112
2024-05-19T02:15:00,121
2024-05-19T02:30:00,128
2024-05-19T02:45:00,134
2024-05-19T03:00:00,139
2024-05-19T03:15:00,142
2024-05-19T03:30:00,145
2024-05-19T03:45:00,141
2024-05-19T04:00:00,136
2024-05-19T04:15:00,131
2024-05-19T04:30:00,128
2024-05-19T04:45:00,125
2024-05-19T05:00:00,129
2024-05-19T05:15:00,137
2024-05-19T05:30:00,148
2024-05-19T05:45:00,157
2024-05-19T06:00:00,164
2024-05-19T06:15:00,168
2024-05-19T06:30:00,165
2024-05-19T06:45:00,158
2024-05-19T07:00:00,149
2024-05-19T07:15:00,138
2024-05-19T07:30:00,126
2024-05-19T07:45:00,114
